"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J25,J26,J29,J27,J28,J30";"PinSocket_1x04_P2.54mm_Horizontal";6;"Conn_01x04_Pin";;;
2;"J23,J6,J7,J3,J15,J10,J12,J5,J17,J24,J20,J4,J11,J22,J18,J1,J21,J14,J13,J9,J16,J19,J8,J2";"PinHeader_1x01_D2.54mm_Vertical_PogoPin";24;"Conn_01x01_MountingPin";;;
