"Id";"Designator";"Footprint";"Quantity";"DigiKey Part Number";"Manufacturer Product Number";
1;"J25";"PinSocket_2x12_P2.54mm_Horizontal";1;"S5526-ND";"PPTC122LJBN-RC";
2;"J12,J16,J4,J2,J8,J17,J6,J15,J22,J11,J10,J1,J5,J23,J21,J14,J24,J20,J19,J18,J7,J9,J3,J13";"PinHeader_1x01_P2.53mm_Vertical";24;"ED10089-ND";"0859-0-15-20-82-14-11-0";
